UniProtKB,SET1_DPY7.NES.GFP,SET2_DPY7.NES.GFP,SET3_DPY7.NES.GFP,SET1_DPY7.NLS.GFP,SET2_DPY7.NLS.GFP,SET3_DPY7.NLS.GFP,SET1_DPY7.NLS.NES,SET2_DPY7.NLS.NES,SET3_DPY7.NLS.NES,SET1_MYO2.NES.GFP,SET2_MYO2.NES.GFP,SET3_MYO2.NES.GFP,SET1_MYO2.NLS.GFP,SET2_MYO2.NLS.GFP,SET3_MYO2.NLS.GFP,SET1_MYO2.NLS.NES,SET2_MYO2.NLS.NES,SET3_MYO2.NLS.NES,SET1_MYO3.NES.GFP,SET2_MYO3.NES.GFP,SET3_MYO3.NES.GFP,SET1_MYO3.NLS.GFP,SET2_MYO3.NLS.GFP,SET3_MYO3.NLS.GFP,SET1_MYO3.NLS.NES,SET2_MYO3.NLS.NES,SET3_MYO3.NLS.NES,SET1_SPP5.NES.GFP,SET2_SPP5.NES.GFP,SET3_SPP5.NES.GFP,SET1_SPP5.NLS.GFP,SET2_SPP5.NLS.GFP,SET3_SPP5.NLS.GFP,SET1_SPP5.NLS.NES,SET2_SPP5.NLS.NES,SET3_SPP5.NLS.NES,Epidermis_cytoplasm,Epidermis_nucleus,Pharyngeal.muscle_cytoplasm,Pharyngeal.muscle_nucleus,Body.wall.muscle_cytoplasm,Body.wall.muscle_nucleus,Intestine_cytoplasm,Intestine_nucleus,Compartment.specific,Tissue.specific
Q03563,4.45027,3.9333,2.65084,0,0,0,0.262409902,-0.06527215,-0.297595273,0,-1.41342,0,0,0,0,0,0.17293695,0,2.88448,2.2726,1.82579,0,0,0,-0.067603766,-0.210788839,-0.001680867,4.18346,4.79656,3.10335,0,0,0,-0.245403837,-0.52580511,-0.473596549,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
Q9Y194,4.73893,3.2758,2.79894,1.73153,4.01203,2.43844,0.036559902,0.09377785,-0.041955273,2.19045,1.40905,1.26406,1.78726,0.656329,0.659281,0.668494581,0.02338895,0.068669,5.11786,1.61405,1.04849,1.53753,1.29722,0.525892,0.648652234,0.294042161,0.131847133,4.84396,4.25418,2.76445,2.36838,1.06226,1.06514,-0.517263837,-0.12756511,-0.493736549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Q18240,0,0,0,3.16085,4.01907,0,0,4.32844785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nucleus specific,Epidermis specific
Q9XWP6,0,2.11012,0,0,0,0,1.226587902,0.35403785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67274,3.35341,0,0,0,0,1.020563163,0.90183489,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q9N5R9,4.33246,2.52557,2.29978,2.26808,1.39827,2.56542,1.368914902,0.97718485,1.615699727,4.27632,1.44029,0.204324,0,0.601313,-1.72012,0.332967581,0.21195295,0.305411,4.81895,1.51869,1.03924,2.25473,2.35318,1.56845,0.809855234,1.165467161,1.485731133,3.9598,2.84468,2.00478,4.16529,1.96246,2.88186,1.624959163,1.82419089,1.996631451,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Nucleus specific,NA
Q21338,3.23255,2.73818,2.97694,2.96916,2.15178,2.31229,0.794106902,0.44650285,0.983002727,1.55996,0.659739,0.812084,1.4216,0,0.184684,0.563092581,0.00145295,0.240296,2.43836,1.01593,0.941462,1.64444,1.10687,1.58822,0.733518234,0.597447161,1.013095133,3.24679,1.74035,2.13598,2.8626,1.91194,2.26367,0.968602163,1.28835489,1.167843051,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Nucleus specific,NA
P91079,3.50408,2.38834,2.56994,0,0,0.229044,0.238859902,0.56726285,0.132354727,1.30611,1.14909,0.598298,2.49689,1.88773,-0.0603791,0.433652581,0.18971495,0.152605,2.12668,1.42361,0.553768,1.29473,0.214471,-0.258241,0.321794234,0.560648161,-0.039992867,4.63252,3.63537,3.13346,2.31737,0,1.245,-0.856413837,-0.35195511,-0.850696549,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA
Q20375,3.02893,2.41605,2.60368,0,0,2.73619,0.514739902,0.10930785,0.790440727,0,2.44395,0.784775,0,4.62799,4.05476,0,1.83159595,0.535133,0.512672,2.12989,0.742943,0,0,0.537094,0.600062234,-0.120168839,0.757857133,4.44777,3.7144,3.98274,0,1.80656,5.05887,-0.704113837,-0.71688511,-0.965166549,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
Q9XVI6,2.99531,3.24237,1.12656,0,2.2744,0,0.036109902,0.02029785,-0.353565273,0,0,0,0,0,0,0,0,0,2.71274,0,0,0,0,0,0.032711234,0,0,3.77483,4.45114,2.28313,0,0,0,0.083436163,0.58018489,-0.316116549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q8MXR6,4.30386,4.00251,4.3821,2.11337,2.55283,1.86788,-0.517000098,-0.15789215,-0.921355273,1.61471,1.50157,1.43934,0.504784,0.23504,0.309903,-0.168700419,-0.00317505,-0.373097,3.29724,3.80443,2.60811,0.914334,1.71131,0.835837,-1.523683766,-1.421438839,-1.206300867,4.73465,4.59523,3.93194,1.91658,1.63575,1.55791,-1.326833837,-0.89956511,-1.294816549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Cytoplasm specific,NA
P12114,0,0,-0.0435561,0,0.851535,0.981023,0,0,2.258744727,0,0.567996,0.307642,-0.047068,0.498812,0.784285,0.621157581,0.78553595,1.35909,0.307514,0.859075,-0.523635,-0.39939,1.1359,0.568107,0.420346234,1.362273161,1.751489133,0,0,-0.542531,0,0,-0.0259248,0,0,1.580600451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q19905,4.09003,3.6093,3.60684,2.13172,1.66454,1.97371,-0.564110098,-0.39787215,-0.755935273,1.56741,1.03099,0.865755,1.11975,-0.18666,-0.0762197,0.133807581,0.10370995,-0.012558,1.92767,1.51562,1.08365,1.10865,0.503777,0.43153,0.091299234,0.155195161,-0.065796867,3.3839,2.391,2.01625,1.98529,0.978379,0.859461,0.048286163,0.66414489,0.119025451,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
G5EE56,3.23604,0,1.89453,0,0,0,-0.769310098,0,0.287563727,1.52114,0,0,0,0,0,0.566423581,-0.05744605,0,3.63515,0,0.813343,0,0,0,-0.627963766,0,-0.079207867,3.00142,0,1.34477,0.743258,0,0,-0.132003837,0,0.657890451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
G5EFH4,1.39774,2.30673,2.46164,0.687731,1.36693,1.45518,0.942649902,0.42271685,0.660314727,0,0.0335002,0.505693,0.416104,-0.285888,0.959562,1.866269581,0.55540695,0.682437,-0.102061,-0.439661,0.737445,0.205284,-0.367053,0.990603,1.251917234,0,0.555911833,2.4375,2.70593,1.36853,0,0,0.170411,0.027006163,1.04000489,-0.289756549,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
O44618,3.1975,3.21601,2.98436,0,-0.828434,1.60185,-0.398350098,-0.04874215,-0.049125273,1.99173,-1.95767,0.807735,1.01855,-0.278414,0.609393,-0.183530419,-0.40327005,-0.017088,1.69766,-3.40768,1.14719,1.24438,-1.89898,-0.00772867,0.199959234,0.287091161,-0.194540867,3.25001,3.10688,1.87652,0,2.93338,2.35925,-0.491683837,0.06230489,-0.352986549,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Q18678,3.75832,3.64854,2.48832,1.39811,1.73404,1.10764,-0.310810098,-0.58606215,-0.130415273,2.10306,1.51838,0.633104,1.76934,0.286886,0.274851,0.375921581,-0.06838105,0.303333,2.2827,1.84317,0.606881,1.53897,1.13402,0.53614,0.043363234,0.256660161,0.196840133,4.05029,3.38969,2.10536,2.31461,1.50008,1.15437,0.070716163,-0.03121511,-0.002676549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Q9NAD6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3357,3.82002,3.01395,0,0,0,0.791715163,1.83748989,-0.115836549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,Intestine specific
O01498,2.95547,2.4983,2.27291,2.25236,2.99579,1.96337,1.690856102,2.11310585,0.728342727,1.55252,0.342345,0.391731,0.357502,-0.0316706,0.283873,0.762798581,0.24707695,0.201124,1.25714,0.447981,0.775104,0.515176,0.649966,1.08815,0.644155234,0.267706161,-0.558510867,2.30559,2.58917,1.87434,0.956733,1.333,0.580353,0.683286163,0.82362489,-0.108616549,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Nucleus specific,NA
Q20977,5.14084,1.72268,2.77395,4.62136,1.68262,2.60214,1.375367902,1.03024685,1.098686727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.544307,0,0,0,0,0,-2.455276549,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Nucleus specific,Epidermis specific
Q94239,0,0,2.88411,0,0,0,2.880209902,0,-4.319265273,0,0,0,1.09711,0,0,0.679458581,0,0,3.70296,2.63865,1.53599,2.11675,0,0,0.506670234,0.181163161,-0.204672867,0,3.19309,0,1.63511,0,0,0.619826163,1.08480489,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA
