UniProtKB,SET1_DPY7.NES.GFP,SET2_DPY7.NES.GFP,SET3_DPY7.NES.GFP,SET1_DPY7.NLS.GFP,SET2_DPY7.NLS.GFP,SET3_DPY7.NLS.GFP,SET1_DPY7.NLS.NES,SET2_DPY7.NLS.NES,SET3_DPY7.NLS.NES,SET1_MYO2.NES.GFP,SET2_MYO2.NES.GFP,SET3_MYO2.NES.GFP,SET1_MYO2.NLS.GFP,SET2_MYO2.NLS.GFP,SET3_MYO2.NLS.GFP,SET1_MYO2.NLS.NES,SET2_MYO2.NLS.NES,SET3_MYO2.NLS.NES,SET1_MYO3.NES.GFP,SET2_MYO3.NES.GFP,SET3_MYO3.NES.GFP,SET1_MYO3.NLS.GFP,SET2_MYO3.NLS.GFP,SET3_MYO3.NLS.GFP,SET1_MYO3.NLS.NES,SET2_MYO3.NLS.NES,SET3_MYO3.NLS.NES,SET1_SPP5.NES.GFP,SET2_SPP5.NES.GFP,SET3_SPP5.NES.GFP,SET1_SPP5.NLS.GFP,SET2_SPP5.NLS.GFP,SET3_SPP5.NLS.GFP,SET1_SPP5.NLS.NES,SET2_SPP5.NLS.NES,SET3_SPP5.NLS.NES,Epidermis_cytoplasm,Epidermis_nucleus,Pharyngeal.muscle_cytoplasm,Pharyngeal.muscle_nucleus,Body.wall.muscle_cytoplasm,Body.wall.muscle_nucleus,Intestine_cytoplasm,Intestine_nucleus,Compartment.specific,Tissue.specific
Q19192,0,0,0,0,0,0,0,0,1.083978727,0,0,0,0,0,0,0,0,0,0,0,0,0.593256,0,0,0.425913234,0,0,-2.07193,0,0,0,0,0,0.081256163,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q21219,2.91107,2.69203,2.61954,0,0,0,-2.511530098,0.31833785,0.123394727,0.854869,0,0.61629,0,0.446244,0.0175674,-3.678610419,0,0.334904,1.75439,0,0.702744,0,1.08432,0.645576,-0.639573766,0.018697161,0.191388133,4.64235,4.07158,3.8578,0,0,1.00477,-1.338663837,-1.25123511,-1.519866549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Cytoplasm specific,NA
Q17758,0,4.8037,4.23856,0,0,0,0,-1.20628215,-1.203755273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cytoplasm specific,Epidermis specific
Q9N4N3,0.556871,1.5643,2.08902,0,0,0,-0.069180098,-1.94201215,-0.481165273,0,0,1.36888,1.92896,0,0.466957,0,0,-0.150627,0,0,0,0,0,0,0,0,0,3.27325,3.15045,1.50194,0,0,0,0.185176163,-0.77666511,-0.176196549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
H2L0E5,4.69084,4.00114,3.26052,1.6656,1.57872,1.55018,-1.094290098,-0.89398215,-1.003805273,2.03626,1.45688,0.807059,1.45385,0.264235,0.614401,0.252400581,0.21854895,-0.113957,2.22594,2.17235,0.534394,1.62837,1.33254,-0.218536,0.290836234,0.160319161,0.244762133,5.09612,4.28886,3.83895,0.874776,0.406549,0.844127,-1.045913837,-1.26940511,-1.445436549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Cytoplasm specific,NA
Q95Y67,1.12711,0,0,0,0,0,0.590279902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822116,0,0,0.667179234,0,0,3.56182,1.59309,3.79723,3.387,4.32296,4.74312,0.235066163,1.07298489,0.972831451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
O17772,4.3656,2.00603,2.35718,0,0,1.53741,0.335639902,-0.60556215,0.397530727,0,0,0.904458,0,0,0,0,0,0.570598,0,0,0,0,0,0,0,0,0,4.31496,3.20978,3.50431,0,0,0,-0.972283837,-0.45318511,-1.223926549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
O18000,3.70543,3.3526,2.5411,2.41723,1.59117,1.0151,0.036239902,-0.30113215,-0.054075273,1.1446,0.682714,0.529055,1.11526,-0.173594,0.222613,0.520447581,0.04223495,0.697185,0.680959,1.16445,0.368172,0.592854,0.950815,0.0928714,0.520841234,0.663327161,0.169168133,4.48668,4.57095,3.597,2.5406,2.27347,2.89793,-0.379773837,-0.31074511,-0.001916549,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
G5EEZ4,0,0,2.10379,4.64877,4.58736,0,2.556958902,2.52308785,2.841004727,0,0.701701,0,0,0,0,0,0.42384895,0,0,0,0,3.98928,2.51876,1.15186,1.627299234,1.480740161,1.549256133,4.11906,0,1.78441,4.28999,4.02562,2.83426,1.890393163,2.16316689,2.253583451,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Nucleus specific,NA
Q9BMU4,4.78247,3.54158,3.77339,0,2.81298,2.12933,-1.544330098,-0.89569215,-1.074475273,0.813374,2.1112,1.70702,0,0,-0.109425,-0.755950419,-0.68511005,-0.745757,2.64344,2.0089,1.39637,0,0,1.18736,-0.462213766,-0.221718839,-0.602060867,4.0329,3.53295,3.15788,0,0,1.0608,-1.127113837,-0.13359511,-0.745176549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Cytoplasm specific,NA
G5EBI0,4.01182,2.93248,2.21664,1.13305,0,1.59302,-0.433780098,-0.00787215,0.128254727,4.03365,1.33404,0.719999,1.53552,0.545638,-0.0653765,0.960660281,-0.32769005,0.135998,2.26277,2.07251,0.568973,1.05405,0.87549,0.0734322,0.389254234,0.592570161,0.061567133,3.57417,2.87434,1.71307,1.90713,0,0.678179,0.172056163,0.15418489,0.306918451,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
G5EEV5,2.81378,2.52847,2.15182,1.50412,1.94226,1.11406,0.397959902,0.49129285,0.129134727,1.1497,0.707092,0.295449,0.813155,0.404805,0.143503,0.495083581,0.56049295,0.71607,1.19056,1.58934,0.657863,0.857924,1.13243,0.0306127,0.588249234,0.718802161,0.009822133,3.49424,3.37271,2.57011,2.23444,2.05829,2.06076,0.406676163,0.82040489,0.502703451,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
O17352,1.8544,2.50522,2.73984,0,0,0,-0.859980098,-0.76325215,1.265461627,-0.0134858,0,0,0.330281,0,0,1.020373581,0,0,0.269892,0,0,0.51474,-0.9234,-1.49989,1.032959134,1.355261161,0,0,0,0,0,0,0,0,0.84425489,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Epidermis specific
Q95ZQ4,3.03275,2.88523,2.58606,2.2618,2.23501,1.53172,0.557359902,0.77989985,0.290984727,1.10789,0.845258,0.620764,0.701577,0.448665,0.102419,0.526655581,0.43483595,0.315957,1.83127,1.94359,0.897393,1.16377,1.02203,0.391173,0.189116234,0.203691161,-0.025426867,3.46685,3.37783,2.67158,1.83006,1.12628,1.49006,0.137496163,0.38650489,-0.206066549,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Q9XUY2,3.75037,4.10735,3.64725,0,3.52551,2.84836,2.751879902,0.96853485,0.397198727,0,0.394474,0.719933,0,0,2.62712,0,0.42595695,0.418187,1.79979,1.88942,-0.41067,0,0,0,3.679156234,0.196156161,0.503909133,2.96388,4.35037,2.62171,0.108457,0,0,3.358866163,0.09256489,-0.036926549,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
Q9NAH7,2.81659,2.74044,2.45109,0.479806,2.29052,2.09849,0.249809902,0.73774585,0.205484727,0,1.15627,1.08187,0,0.819967,0.469366,0,0.44849095,0.254103,4.32936,2.25869,1.42621,0.941555,1.28478,0.33067,-0.039607766,-0.044828839,-0.405740867,5.29694,3.61422,2.74085,1.9848,0,1.57544,-0.594763837,0.13725489,-0.427636549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Q9BHL6,3.8068,3.27185,2.94027,0,0,0,0.336689902,0.79381685,0.386256727,0,-2.08053,0,0,0.963591,0,0,0.63802595,0,2.35002,2.4633,0,0,0,0,0.389158234,0.087392161,0,3.88823,2.43975,2.9824,0,0,0,0.280296163,0.38849489,-0.348286549,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
O02168,4.24202,3.52137,3.03248,1.89519,2.58788,2.20001,-0.277740098,0.27182785,-0.201835273,6.51888,1.2373,0.880125,0.946324,0.911604,0,-0.256380419,0.37851595,-0.002556,2.26629,1.95113,1.1623,0,1.23017,0.233484,0.090733234,0.141127161,-0.135260867,3.29169,3.63426,2.559,2.03773,0,1.14761,-0.260573837,-0.11764511,-0.346546549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
O01541,3.96708,3.85929,3.7428,2.13612,2.42294,1.90018,-0.225990098,-0.19142215,-0.489395273,1.62144,1.35669,1.01432,0.998612,0.539788,0.0899207,0.198867581,-0.04454705,-0.177467,2.28563,2.45839,1.457,1.20914,1.20284,0.384805,-0.022665766,-0.355238839,-0.452380867,3.48232,3.26193,2.57177,1.36688,0.665874,1.09004,-0.171413837,0.07959489,-0.399766549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Q19834,4.38099,0,0,0,0,0,0.172919902,0,0,1.3553,0,0,0,0,0,0.509261581,0,0,3.81939,0,0,1.12381,0,0,0.745202234,0,0,4.15344,0,0,0,0,0,0.498486163,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q7YXH5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04996,0,0,0,0,0,-1.10485511,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q22397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78756,0,0,2.18608,0,0,0.977784461,0,6.1283,3.40733,2.69711,0,0,0,-0.024853837,0.05695489,-0.077266549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q9NA91,0,4.34984,0,0,0,0,0,-0.26097215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q9U2K8,4.27047,3.35152,3.13696,1.93281,1.65199,1.49656,-0.467630098,0.01986785,-0.545915273,2.4619,1.18127,1.06698,2.09591,0.259632,-0.0921282,0.461140581,0.02466195,-0.048394,2.89973,2.15072,1.18081,1.9893,0.719171,0.0754841,-0.227793766,-0.254228839,-0.286347867,3.93438,3.00817,2.71236,2.72532,1.8854,1.25069,-0.077913837,0.50145489,-0.448716549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Q19554,4.23163,3.58967,3.35361,1.95492,1.85318,1.3027,-0.869340098,-0.69615215,-0.766405273,2.13465,1.42898,0.923178,1.53791,0.736859,-0.116539,0.209367581,-0.06836605,-0.195597,2.63553,1.88371,1.20963,1.7003,1.11018,0.177269,-0.029304766,-0.218188839,-0.316645867,4.45242,3.30344,2.48701,2.3933,-1.27862,0.978138,-0.510623837,-0.19914511,-0.523886549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA
G5EFG4,2.55973,2.32096,2.33067,1.75705,2.17511,1.67121,0.958861902,1.12029785,0.657039727,0.809431,0.574072,0.564629,0.905694,0.3079,0.0615803,0.865670421,0.51625395,0.41991,1.57667,1.41439,1.05549,1.13962,0.993861,0.649275,0.555019234,0.460204161,0.275870133,2.75728,2.21835,1.94488,1.53316,0.968563,1.16999,0.439876163,1.08865489,0.291922451,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
Q20306,1.75847,1.53035,1.79017,0.814423,1.17565,0.933471,0.745690902,0.83632985,0.172234727,0.566825,0.390539,0.296995,0.337565,0.37697,-0.290301,0.602578581,0.73902295,0.331633,0.641616,1.10753,0.619623,0.603367,0.696314,-0.0493285,0.862763534,0.448905161,-0.037924867,1.9432,1.59031,1.26683,0.814737,-0.134778,0.646918,0.565996163,0.56671489,-0.068936549,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q10929,1.82932,-0.701053,3.95428,0,0,0,0.901868902,0,-0.282115273,0,0,0,0,0,0,0,0,0,1.86885,1.32632,0,0,0,0,0.200349234,-2.825168839,0,2.6373,4.79276,3.07713,0,0,0,-2.810333837,0.49028489,0.078913451,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
S6EZS3,0,0.688417,0.400548,0,0,0,0,0,-4.022655273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.414329133,0,0,0,0,0,0,2.350134163,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q9TXV8,2.69454,0,0,0,0,0,-0.983450098,0.73007785,0,0,0,0,0,0,0,0,0,0,0,0,0.21084,0,0,0,0,0,0.658346063,4.23711,3.02184,4.51508,0,0,0,-2.325533837,-1.35751511,-1.131916549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Cytoplasm specific,NA
G4SRS5,2.46239,3.08051,2.22594,1.39077,2.04529,1.18478,0.518089902,0.49410485,0.381353727,1.13068,0.863736,0.525978,0.808659,0.456425,-0.372293,0.351966581,0.29618895,0.225279,1.09371,1.45816,0.568779,0.791179,1.25443,0.105365,0.458865234,0.675614161,0.214659133,2.98005,2.99595,1.60812,1.39812,0.388199,0.650988,0.394586163,0.57068489,0.284135451,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
G5EC65,3.62008,2.3812,1.42605,1.05615,0.465901,1.18733,0.414459902,0.34583785,0.295469727,0.714075,1.29017,0.883131,3.25329,2.80481,-0.369433,0.215858581,-0.18561005,-0.210087,2.60222,2.7892,1.71707,3.14115,1.01947,0.302076,-0.592043766,-0.553878839,-0.737640867,3.89155,3.43135,2.58111,0,0.610231,0.927919,-0.466743837,-0.38504511,-0.492846549,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA
G5EBE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36649,0,3.4956,0,0,0,1.037968234,-0.056618839,-0.945230867,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Body wall muscle specific
O17351,6.54773,-0.263892,0.154737,0,0.487189,-4.53029,1.754022102,0,0,0.615679,0.381721,0.59892,-0.0313741,0.214085,-3.60623,0.142860581,0.68020295,-0.494027,0.508969,0.471039,0.247174,0.00335048,0.229634,-1.85901,0.528504234,0.582011161,0.034360133,4.40252,0,-2.49801,0.582605,0,-3.32414,-0.514403837,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q20936,0.383509,0.0367433,0.710637,0.331066,0.230703,-2.31005,1.679534502,1.99714985,-0.388285273,0.473667,-0.0176106,0.575975,-0.224833,0.0224597,-0.18568,0.206375581,0.72125395,0.1477,0.284446,0.444668,0.502711,-0.101815,0.178091,-0.355577,0.322860234,0.543475161,-1.146220867,0.312795,-0.202472,0.412887,0.517798,0.220792,0.850274,1.859069463,2.63170789,1.475047451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q17405,0.945516,1.86796,2.37556,0.608822,0.757425,1.38916,1.477244902,0.77879685,0.461410727,0.158406,-0.287297,0.304385,0.756647,-0.584558,-0.731707,1.477473581,0.63502695,-0.188667,-0.0964668,-0.37989,0.180896,0.582534,0.101543,-0.913923,1.707072234,1.464387161,-0.555490867,0.39248,1.08992,-0.496471,0.562498,-0.995951,-0.402781,1.947180163,0.45075489,1.253334451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
O01805,4.10444,4.32791,0,0,0,0,0.411849902,0.12080785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89594,4.67487,4.41386,4.12886,4.82701,3.3634,-0.162253837,-0.12116511,0.070323451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA
Q20507,5.12228,3.6601,4.03004,3.9738,0,0,0.639299902,0.14560785,0.139594727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5999,0,0,0,0,0,-1.825613837,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
H2KZG6,3.5686,2.77792,2.37949,0,0,0,-0.762350098,-0.05553215,0.234904727,1.3283,1.52601,0.807784,1.28678,0.654704,-0.0829577,0.821767681,0.20523895,-0.010759,1.83842,1.02485,0.668373,1.20677,2.19272,0.150507,0.247698234,0.307631161,0.422754133,3.42033,2.7921,0,0,0,0,-0.086233837,0.25996489,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA
Q22347,3.57681,2.32699,2.02265,1.33727,-0.401701,1.00582,-0.151370098,0.28853785,0.366775727,2.06653,1.01116,0.553849,1.66318,0.0776397,-0.00129963,0.487802581,0.14955595,0.283047,2.24204,1.26768,0.353,1.81249,0.565328,0.0708649,0.501512234,0.346043161,0.411746133,3.78659,2.57362,1.93548,2.18724,0,0.544538,0.460126163,0.58025489,0.186472451,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
Q9XWZ2,2.65701,2.48301,2.03229,0,2.11988,1.33194,0.673279902,0.35770785,0.127944727,2.21364,0.764253,0.0813565,0,0,-0.428625,0,0.47454395,0.427485,1.87675,1.5386,0.0103376,0,0.598551,-0.354242,0.151887234,0.374249161,0.007445133,2.51567,2.47518,1.59381,0,0,1.02298,0.586456163,0.51366489,0.404095451,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
Q19057,3.41282,2.90415,2.44492,1.76288,1.8719,1.44009,0.126739902,0.40503985,0.245184727,1.76634,0.721944,0.563741,1.60148,-0.0751932,-0.0238121,0.728806581,0.27975295,0.376857,2.14291,1.202,0.403976,1.70797,0.501758,0.0103877,0.346976234,0.268983161,0.235639133,3.55781,2.54888,1.79042,2.11736,0.930055,0.703136,0.422046163,0.53363489,0.136224451,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
H2KYN3,0,0.643823,2.63403,0,1.80599,0,0,0.77779285,-0.096955273,0,-0.0147078,0.55764,-0.0789189,-2.45754,-0.574271,1.061896581,0.53777395,0.320861,0,0.425228,0.599715,0,4.62341,0.581183,0,0.394551161,0.296985133,3.30566,1.65658,1.90368,0,0,0.618543,0.823135163,0.22460489,0.274372451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
O44549,4.05077,3.18588,2.4193,2.35322,2.07989,1.57755,-0.020050098,0.31660785,0.315381727,2.19677,1.14869,0.585421,1.77224,0.315603,-0.138219,0.399517581,0.12738095,0.256216,2.06443,1.79969,0.530875,1.92981,1.01769,0.128357,0.192805234,0.387433161,0.284692133,4.2096,2.62888,2.03098,2.16174,1.43612,1.30695,0.229406163,0.57986489,0.108809451,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Q22781,3.39044,2.74985,2.19609,1.89196,2.17842,1.2542,0.133449902,0.36593785,0.351438727,1.97671,0.910962,0.683549,1.78263,0.368628,0.0745287,0.542530581,0.35612495,0.296491,2.21346,1.57138,0.531944,1.84374,1.11423,0.288331,0.353418234,0.511855161,0.418381133,3.67431,2.5124,2.02815,2.68194,0.797056,1.02046,0.334886163,0.72755489,0.183901451,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
Q95YB2,3.77189,2.67097,2.36567,1.46464,1.71192,1.56931,-0.137580098,0.30598785,0.341520727,1.98828,1.62325,0.480988,1.62486,1.16415,-0.58783,0.790264881,0.38439395,0.195178,3.84106,1.61498,0.230876,2.22389,1.30874,-0.0535535,-0.060407766,0.433138161,0.339066133,4.05773,2.70652,1.59893,1.81738,1.48955,1.13303,0.368776163,0.66665489,0.232844451,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA
P91156,0,3.93666,0,5.1202,6.21105,4.20783,4.186869902,3.73161785,4.597724727,0,0,0,0,0,0,0,0,0,0,0,0,4.50953,4.1255,3.77324,3.999166234,1.817080161,4.205669133,0,3.59982,0,4.15196,6.09983,4.04659,4.601366163,4.75267489,4.516343451,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Nucleus specific,NA
Q93841,0,2.02243,1.9023,0,0,0,-1.708720098,0.21999785,-0.614505273,1.81651,0.962256,0,2.01347,0.0563557,0,0.020873581,-0.05118005,0,0,0,0,0,0,0,0,0,0,4.15044,0,0,0,0,0,0.265536163,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
O01882,3.46175,2.32441,2.45339,-0.607654,0,1.01538,0.403629902,0.67083685,0.237094727,1.64103,1.94579,0.858202,-0.191634,0.603811,-1.65303,0.196805581,-1.84309005,0.227174,0,0,0.282681,-0.675607,0,-0.112572,-1.009243766,0,0.087092133,3.50284,2.45246,1.67225,0,0,-0.789636,-0.189283837,-0.78709511,0.050683451,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q22267,4.16371,1.76987,2.5138,0,-0.35305,0,0.324369902,0.49259785,0.276741727,0,1.02996,0.70981,0,0,-0.0260932,-0.229530419,0.22312595,-0.01638,1.90358,1.35944,1.06085,0,0,0.106676,0.177320234,0.518117161,-0.065334867,2.05918,2.66958,2.01097,2.06846,0.875906,0,0.171036163,0.34287489,-0.161746549,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
Q21812,2.61404,2.84757,3.3707,1.31728,3.13487,0.618475,0.538299902,0.26212785,0.553918727,0,1.13152,1.55438,0,0,0,0,0.37816295,0.217235,0,2.00329,1.44206,0,0,0.653925,0,0.250003161,0.285195133,3.12092,3.15988,2.36829,2.17791,0,0.952128,0.852660163,0.25792489,-0.210976549,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
Q22949,0,0,1.9751,0,0,0,0,0,-0.188715273,0,0,1.24762,0,0,0,0,0,0.283284,0,0,0.817411,0,0,0,0,0,0.218975133,0,3.36101,2.53859,0,0,0,0,0.66113489,0.198173451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
G5EFP8,0,2.06742,2.04024,0,0,0,0,0.34048785,-3.001995273,0,0,0,0,0,0,0,0,0,0,5.03687,0,0,0,0,-5.385583766,-4.177098839,0,0,2.24547,0.677651,0,0,0,0,1.06636489,0.622131451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q23087,6.33134,0,0,0,0,0,-1.838080098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.448373766,0,0,3.00769,2.40093,3.37147,0,0,0,-1.788193837,-0.55676511,-0.692946549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
P90731,4.19134,3.37181,3.70453,2.92758,2.95023,2.41702,0.444069902,0.89942785,-0.102165273,0.401244,0.38009,0.138645,-0.369974,0,-0.651592,0.779930981,0.65918095,-0.040629,0.58929,0.835575,-0.287813,0,0,-0.329899,0.680383234,0.471027161,-0.563120867,2.07791,1.7262,0.429782,0,0,0,1.221514163,0.91769489,0.725743451,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q95Y54,4.36337,4.09238,4.31071,0,3.81982,0,0.066139902,0.36887785,0.030124727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Epidermis specific
Q18581,-0.434114,0.746174,-0.442412,-0.460192,0.948278,-0.553719,1.670187902,1.58721485,1.177545527,0.282157,1.05237,-0.527159,-0.015375,0.959644,-0.720018,0.543405581,0.82182645,0.685461,-0.0674481,1.08682,-0.0359237,-0.0175148,1.08898,-1.63085,1.040850234,1.048012761,-0.881430867,0.24203,1.13329,-1.04796,0.35375,0.586041,-0.255802,1.952965163,1.71566089,1.968985451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
Q23500,3.83463,4.01479,3.10769,2.64865,2.6938,2.17767,0.349589902,0.08386785,0.378679727,1.54914,1.21353,0.546112,1.14363,0.376336,-0.227193,0.414788581,0.12599795,0.174046,1.61864,1.34421,0.375627,1.08958,0.775214,-0.0479687,0.378030234,0.443255161,0.221908133,4.08167,3.91171,2.77797,2.90309,2.18452,1.77318,0.349556163,0.43100489,0.190892451,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA
P34455,2.6129,2.65067,1.90095,1.23596,1.65117,0.869142,0.309229902,0.35681785,0.301332727,0.831239,0.604172,0.184553,1.02731,0.176086,-0.246383,1.158322581,0.40603095,0.433022,1.38291,1.29944,0.119105,0.858858,0.678421,-0.0312303,0.344439234,0.354914161,0.450265133,2.79417,2.50718,1.28628,1.4579,0.669042,0.326102,0.411766163,0.55232489,0.197817451,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA
O62140,3.29386,3.3102,2.65819,0,2.83639,2.68944,0.408729902,0.06626785,0.374278727,0.782936,-0.816967,1.57499,0,0,0,0.863105729,0.18998395,0.022478,0,0,0,0,0.657796,0,0,0.649121161,0,4.13796,3.8259,3.17069,0,0,0,0.113786163,0.28741489,-0.424216549,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q9GUF2,2.46124,1.88425,1.46435,0.908239,1.30702,0.862551,0.377469902,0.52334685,0.368098727,0.649417,0.347368,0.154366,1.07679,-0.0440865,-0.356915,1.185924581,0.61819595,0.233363,1.21156,0.583119,-0.158303,0.919949,0.399074,-0.134841,0.684058234,0.562184161,0.500135133,2.07406,1.5342,0.844754,1.41396,0.212338,0.114126,0.860977163,1.11548489,0.492748451,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Q9UAV8,4.02735,3.29137,4.01815,0,1.65375,3.31009,-0.325600098,0.04671785,-0.337005273,1.74021,1.39879,0.656134,1.58597,0,0,0.204574581,0.43815195,0.344994,0,1.64859,0.697562,0,0,0.252589,0,0.328295161,0.054843133,4.22122,3.50785,2.85551,0,2.32744,0.957046,-0.471723837,-0.18664511,-0.665196549,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
